REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,
mongo,837,closed,closed,2014-10-24 02:51:52,84.12,0,1,1,,,,,,,,,,,,
mongo,837,closed,1,2014-10-24 01:27:45,84.77,,1,,"b'b"" Something is off with the above commit keeping closed until I can verify if it\'s a code problem or an environment problem.""'",,,,,,,,,,,
mongo,837,closed,2,2014-10-24 01:27:45,13.7,,,1,"b""b' Okay", tests run fine," must have been a ghost in my build system.'""",,,,,,,,,
mongo,837,closed,reopened,2014-10-24 03:06:13,14.35,0,2,2,,,,,,,,,,,,
mongo,837,closed,3,2014-10-24 01:27:45,904.7,,1,,"b""b' Any thoughts on this?'""",,,,,,,,,,,
mongo,837,closed,4,2014-10-24 01:27:45,407.45,1,,,"b'b"" @esmet", Sorry for taking this long to get back to you. I am having some trouble rebasing this patch on current master (c3da2fc6642f143111d104c871f420d523f949b5) there\'s been quite a few changes to the interface (for example renaming DiskLoc to RecordId). I would like to close this pull request at this time if you have a patch against a more recent version of the source tree," please feel free to open a new pull request. Ben""'",,,,,,,,,
mongo,837,closed,closed,2015-01-17 00:58:22,1312.15,1,3,2,,,,,,,,,,,,
mongo,837,closed,5,2014-10-24 01:27:45,526.55,,,1,"b""b' @esmet", @benety, I have proposed a new PR based on this: #912Please let me know if that one is OK to merge. Thanks,"Gevorg'""",,,,,,,,
mongo,837,closed,-,-,-,1,3,3,,,,,,,,,,,,
mongo,856,closed,opened,2014-11-03 21:57:26,,,,,,,,,,,,,,,,
mongo,856,closed,title,2014-11-03 21:57:26,00:00,,1,,"b""b' SERVER-13627 Test that replSetReconfig prohibits 0-vote arbiter.'""",,,,,,,,,,,
mongo,856,closed,1,2014-11-03 21:57:26,979.28,,1,,"b""b' url '""",,,,,,,,,,,
mongo,856,closed,closed,2014-11-04 17:32:07,1174.68,0,2,0,,,,,,,,,,,,
mongo,856,closed,2,2014-11-03 21:57:26,557.08,,1,,"b""b' Note: this was reverted as it was failing on some systems after it was committed.'""",,,,,,,,,,,
mongo,856,closed,reopened,2014-11-04 23:33:48,361.68,0,3,0,,,,,,,,,,,,
mongo,856,closed,3,2014-11-03 21:57:26,1334.0,,1,,"b'b"" I\'ve updated zero_vote_: Don\'t assume that the first member started is always the primary.""'",,,,,,,,,,,
mongo,856,closed,closed,2014-11-12 19:39:54,1206.1,0,4,0,,,,,,,,,,,,
mongo,856,closed,-,-,-,0,4,0,,,,,,,,,,,,
mongo,870,closed,opened,2014-12-02 00:51:36,,,,,,,,,,,,,,,,
mongo,870,closed,title,2014-12-02 00:51:36,00:00,,1,,"b""b' SERVER-16002 SERVER-16369 Cluster / standalone auth tests.'""",,,,,,,,,,,
mongo,870,closed,body,2014-12-02 00:51:36,00:00,,1,,"b'b"" I\'ve combined both tickets into one pull request since they both rely on the change to  and the new file"," auth_.""'",,,,,,,,,,
mongo,870,closed,1,2014-12-02 00:51:36,881.22,,1,,"b""b' url url '""",,,,,,,,,,,
mongo,870,closed,closed,2014-12-02 15:35:50,884.23,0,3,0,,,,,,,,,,,,
mongo,870,closed,2,2014-12-02 00:51:36,385.73,,1,,"b""b' Reverted in url '""",,,,,,,,,,,
mongo,870,closed,reopened,2014-12-04 21:58:33,382.72,0,4,0,,,,,,,,,,,,
mongo,870,closed,3,2014-12-02 00:51:36,1422.65,,1,,"b""b' Fixed in url '""",,,,,,,,,,,
mongo,870,closed,closed,2014-12-10 21:41:12,1422.65,0,5,0,,,,,,,,,,,,
mongo,870,closed,-,-,-,0,5,0,,,,,,,,,,,,
mongo,898,closed,opened,2015-01-05 03:30:13,,,,,,,,,,,,,,,,
mongo,898,closed,title,2015-01-05 03:30:13,00:00,,1,,"b""b' SERVER-16716 Removing host string arg length limitation for mongo shell'""",,,,,,,,,,,
mongo,898,closed,body,2015-01-05 03:30:13,00:00,,1,,"b""b' This patch removes the artificial 250 char limit for the host argumber of the mongo shell command.'""",,,,,,,,,,,
mongo,898,closed,1,2015-01-05 03:30:13,673.27,,1,,"b""b' url '""",,,,,,,,,,,
mongo,898,closed,2,2015-01-05 03:30:13,2.63,,1,,"b""b' Replaces #896 '""",,,,,,,,,,,
mongo,898,closed,closed,2015-01-05 14:46:13,676.0,0,4,0,,,,,,,,,,,,
mongo,898,closed,reopened,2015-01-05 14:46:18,0.08,0,4,0,,,,,,,,,,,,
mongo,898,closed,closed,2015-01-05 18:49:08,242.83,0,4,0,,,,,,,,,,,,
mongo,898,closed,-,-,-,0,4,0,,,,,,,,,,,,
mongo,978,closed,opened,2015-06-08 19:48:41,,,,,,,,,,,,,,,,
