REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,
scalatra,368,open,title,2014-03-03 16:36:58,00:00,,1,,"b""b' When running Scalatra tests"," NPE is thrown due to url method in layout templates'""",,,,,
scalatra,368,open,body,2014-03-03 16:36:58,00:00,,,1,"b'b"" When using method (e.g.  ) in  ", NPE is thrown only when running Scalatra tests.  After removing method from ," everything goes fine. Basically we shouldn\'t use method?  ""'",,,,
scalatra,368,open,1,2014-03-03 16:36:58,204.1,,1,,"b""b' When reversed routes have some parameters"," we need to use method. This issue should be fixed.  '""",,,,,
scalatra,368,open,2,2014-03-03 16:36:58,5.32,1,,,"b""b' Just tried 2.3.0-SNAPSHOT and the issue seems to be fixed. I can hardly wait for 2.3.0 stable release!'""",,,,,,
scalatra,368,open,closed,2014-03-13 20:06:23,209.42,1,2,1,,,,,,,
scalatra,368,open,3,2014-03-03 16:36:58,309.63,1,,,"b'b"" Sorry"," my check with 2.3.0-SNAPSHOT was invalid. I\'m not sure this issue is fixed.""'",,,,,
scalatra,368,open,reopened,2014-03-14 01:16:01,309.63,2,2,1,,,,,,,
scalatra,368,open,4,2014-03-03 16:36:58,352.78,,1,,"b'b"" I tried to write a test suite which simply reproduces this error in Scalatra project"," but somehow I couldn\'t reproduce the situation in Scalatra project. I should investigate more.""'",,,,,
scalatra,368,open,-,-,-,2,3,1,,,,,,,
scalatra,389,open,opened,2014-05-01 12:29:04,,,,,,,,,,,
scalatra,389,open,title,2014-05-01 12:29:04,00:00,,1,,"b'b"" Change JRebel documentation to reflect that they don\'t offer a free Scala license anymore""'",,,,,,
scalatra,389,open,body,2014-05-01 12:29:04,00:00,,1,,"b'b"" I\'ve contacted the JRebel guys and as of 2013-12-01 they don\'t offer free Scala licenses anymore. This was after trying to follow Scalatra\'s documentation and getting frustrated because the options don\'t exist anymore :) It\'d be great to change the documentation to reflect this.""'",,,,,,
scalatra,389,open,closed,2014-05-01 12:32:19,3.25,0,2,0,,,,,,,
scalatra,389,open,reopened,2014-05-01 12:32:22,0.05,0,2,0,,,,,,,
scalatra,389,open,1,2014-05-01 12:29:04,57.52,1,,,"b'b"" @lfrancke all done. Sorry for the hassle"," my JRebel license is still active and I hadn\'t noticed that the free plan for Scala users had gone away. ""'",,,,,
scalatra,389,open,2,2014-05-01 12:29:04,59.28,,1,,"b""b' Gotta say"," this is a pretty big bummer in general'""",,,,,
scalatra,389,open,3,2014-05-01 12:29:04,133.37,,,1,"b'b\' Yeah this is disappointing. Seems to have been a ""silent"" move too. Understandable from a marketing perspective but frustrating for all those old links out there. Thanks for the quick fix!\''",,,,,,
scalatra,389,open,-,-,-,1,3,1,,,,,,,
scalatra,531,closed,opened,2015-07-09 06:06:29,,,,,,,,,,,
scalatra,531,closed,title,2015-07-09 06:06:29,00:00,,1,,"b""b' Params and multiParams are empty for PATCH request'""",,,,,,
