REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,
octopress,111,closed,body,2011-08-23 03:20:50,00:00,,1,,b'b\' This is in relation to an issue I opened #110, then thought hey I could fix that. So, after asking a few friends where to look for Ruby docs and what not, I found FileUtils," I also realized that you had been using it already. I went ahead and translated all of the (system ""cp""",mv,rm,"mkdir"") calls to their respective FileUtils corresponding method. It didn\\\'t seem to have a force flag for copy but other than that everything should have been translated properly. \''
octopress	111	closed	1	imathis	2011-08-23 03:20:50	45.88			+1	b'b"" Thanks very much. When I first started this I had no idea how differently some OSes handled these commands. I\'ll pull this down and merge it in tomorrow.""'
octopress	111	closed	2	bendoerr	2011-08-23 03:20:50	48.5	+1			b'b"" I\'ll try to figure something out for both the watch and preview tasks which are the two remaining cross platform violators. Might have to provide OS specific syntax here, Windows doesn\'t really have a trap concept. ""'
octopress	111	closed	closed	 - 	2011-08-23 04:55:13	94.38	1	2	1
octopress	111	closed	reopened	 - 	2011-08-23 04:55:19	0.1	1	2	1
octopress	111	closed	3	bendoerr	2011-08-23 03:20:50	0.77		+1		b""b' Ack, those buttons are close to each other.'",,,,,,,,
octopress,111,closed,4,2011-08-23 03:20:50,1325.87,,1,,"b""b' I have added code for both watch and preview. I feel that they are still less than ideal since we are still making system calls"," and at least to me that just feels wrong. But at least it is a start and a thinking point. '""",,,,,,,,,,,,,,
octopress,111,closed,5,2011-08-23 03:20:50,1119.18,,1,,"b'b"" Thanks very much. This certainly not something I\'d have figured out myself. I gave this a shot: url  which still uses system calls", and doesn\'t have to do any weird PID management, but your solution seems to be more solid for whatever reason. I\'m curious though, why the sleep? :watch has sleep 5," and :preview has sleep 10. Any reason for the different times?""'",,,,,,,,,,,
octopress,111,closed,6,2011-08-23 03:20:50,4.58,,1,,"b""b' Oh", also," why did the :watch command need to and but the :preview task didn\\xe2\\x80\\x99t?'""",,,,,,,,,,,,,
octopress,111,closed,7,2011-08-23 03:20:50,16.28,,1,,"b'b\' The sleeps are there to give enough time for things to shutdown before windows prints its annoying ""Terminate batch job (Y/N)?"" totally not ideal. I would be fine with removing the sleeps it just makes things a bit dirtier in the output for us windows folks. (Something we might have to live with)  The sleeps are different times since during preview rack takes longer to shut down.  Second both of the requires in the preview task should have been removed before I committed. I had originally had three forks each starting up the respective services though their ruby API. Personally that is what would be idea for me", but fork() in ruby isn\\\'t supported on windows, we could do something with threads but meh.  As for url  the code is a whole lot cleaner at least to me, and the code I wrote still has system calls they are just masked as spawn. However on interrupt, and maybe this is something that us Windows users have to live with," you end up with 2 or 3 ""Terminate batch job (Y/N)?"" \''",,,,,,,,,,
octopress,111,closed,8,2011-08-23 03:20:50,18.07,1,,,"b'b"" While my gist had cleaner code", I still get the occasional noisy stack trace when I quit my multitasks. It seems that your work exits more cleanly. It\'s really unfortunate that Windows users have to endure that dialog. Still," making everyone else unnecessarily wait ten seconds to kill rake preview is pretty painful too. I\'m not really sure what to do here.""'",,,,,,,,,,,,,
octopress,111,closed,9,2011-08-23 03:20:50,11.28,,,1,"b'b"" I would drop the sleeps. I could resubmit the pull request with the code cleaned up or you could just fix it on merge. Personally I\'m happy just to see it work. I really like the work flow that you have setup with Octopress and integration between everything. Even if this doesn\'t get resolved here"," I will continue to be using Octopress with the changes that we have discussed.""'",,,,,,,,,,,,,,
octopress,111,closed,10,2011-08-23 03:20:50,7.43,,,1,"b'b"" I\'ve dropped the sleeps and removed the requires locally. Anything else you\'d do to clean it up? Also thanks so much for your help and kindness.""'",,,,,,,,,,,,,,,
octopress,111,closed,11,2011-08-23 03:20:50,2.1,,1,,"b'b"" Nah that does it. I\'ve been tinkering all day long and everything seems to be running now. ""'",,,,,,,,,,,,,,,
octopress,111,closed,closed,2011-08-25 14:05:42,550.38,2,8,3,,,,,,,,,,,,,,,,
octopress,111,closed,-,-,-,2,8,3,,,,,,,,,,,,,,,,
octopress,128,closed,opened,2011-09-01 18:29:22,,,,,,,,,,,,,,,,,,,,
octopress,128,closed,title,2011-09-01 18:29:22,00:00,,1,,"b""b' category_generator gsub problem'""",,,,,,,,,,,,,,,
octopress,128,closed,body,2011-09-01 18:29:22,00:00,,1,,"b'b"" When I used category_generator plugin to create category pages and category link", there had some gsub problem. Although I blogging in Chinese, I guess that all non-English users may have the same problem. The plugin usedgsub(/_|\\\\W/, \'-\') to filter non word and underline characters and replace with a hyphen. But it found out there had regex error when I used some Chinese category name. All of the Chinese had been replaced with \'-\'. I used ruby-1.9.2-p290 as system default. After I did some searching, look like it could use ruby1.8 -Ku to solve this problem. But there might has another easy way, change gsub(/_|\\\\W/, \'-\') to gsub(/_\\\\P{word}/, \'-\')," it could do the same thing even in different lang.""'",,,,,,,
octopress,128,closed,closed,2011-09-03 13:15:06,1125.73,0,2,0,,,,,,,,,,,,,,,,
octopress,128,closed,1,2011-09-01 18:29:22,1127.18,,,1,"b""b' An excellent find"," thank you so much! Are there other areas where I can improve support for blogging in Chinese?'""",,,,,,,,,,,,,,
octopress,128,closed,reopened,2011-09-03 14:15:45,60.65,0,2,1,,,,,,,,,,,,,,,,
octopress,128,closed,2,2011-09-01 18:29:22,60.17,1,,,"b'b"" Hmm for some reason"," I\'m getting a complaint about {word}. Any ideas @farrari? /-0.11.0/:76:in ""'",,,,,,,,,,,,,,
octopress,128,closed,3,2011-09-01 18:29:22,1214.53,,1,,"b""b' Looks like you have to convert unicode characters first: url '""",,,,,,,,,,,,,,,
octopress,128,closed,4,2011-09-01 18:29:22,437.6,,1,,"b'b"" @@fhemberger: I think this might not solve the problem if using /\\\\W/", because it could not handle non Latin words correctly. (At least in Chinese) I found that character property seem not quite stable in Ruby. Look like Ruby support it after 1.9," but I tried under 1.9.1 & 1.9.2 and it only work under 1.9.1-p378. Maybe it\'s not a good choice using character property right now?""'",,,,,,,,,,,,,
octopress,128,closed,closed,2011-09-04 17:48:51,213.1,1,4,1,,,,,,,,,,,,,,,,
octopress,128,closed,5,2011-09-01 18:29:22,68.02,,1,,"b'b"" @Ferrari"," I\'ve merged in @fhemberger\'s changes. Are you saying this won\'t work?""'",,,,,,,,,,,,,,
octopress,128,closed,6,2011-09-01 18:29:22,131.43,,1,,"b'b"" I tied this on characters like \\xc3\\xb3", \\xc3\\xa2, \\xc3\\xa7, \\xc3\\x8d, \\xc3\\x9c," \\xc3\\xa4 \\xe2\\x80\\xa6 all translated correctly. Can you post an example where this patch doesn\'t work?""'",,,,,,,,,,
octopress,128,closed,7,2011-09-01 18:29:22,1013.97,,1,,b'b\' @imathis, works under ruby 1.9.2p0 but not ruby 1.9.1p378. Though works under both. @fhemberger," the fix you provided translates a category name like ""\\xc3\\xb3", \\xc3\\xa2, \\xc3\\xa7, \\xc3\\x8d, \\xc3\\x9c," \\xc3\\xa4"" into ""o-a-c-I-U-a"" properly. But Chinese characters are filtered. Therefore"," a category name like ""\\xe4\\xb8\\xad\\xe6\\x96\\x87\\xe5\\x88\\x86\\xe9\\xa1\\x9e"" would be emptied out.\''",,,,,,,
octopress,128,closed,-,-,-,1,7,1,,,,,,,,,,,,,,,,
octopress,129,closed,opened,2011-09-02 04:45:13,,,,,,,,,,,,,,,,,,,,
octopress,129,closed,title,2011-09-02 04:45:13,00:00,,1,,"b""b' Error when doing Rake Watch in Ubuntu 11.04 #undefined method '""",,,,,,,,,,,,,,,
octopress,129,closed,body,2011-09-02 04:45:13,00:00,,1,,"b'b"" This is the results : rake watch trace  spawn\' for main:Object/-0.9.2/:205:in  execute\'/-0.9.2/:200:in  execute\'/-0.9.2/:158:in  synchronize\'/-0.9.2/:151:in  invoke\'/-0.9.2/:112:in  top_level\'/-0.9.2/:90:in  top_level\'/-0.9.2/:129:in  top_level\'/-0.9.2/:62:in  standard_exception_handling\'/-0.9.2/:59:in  load\'/:19Tasks: TOP => watch""'",,,,,,,,,,,,,,,
octopress,129,closed,closed,2011-09-02 05:18:39,33.43,0,2,0,,,,,,,,,,,,,,,,
octopress,129,closed,1,2011-09-02 04:45:13,132.15,,,1,"b'b"" So i use RVM and using Ruby 1.9.2. Cross checking if Ruby 1.8 doesn\'t have spawn. But it\'s still conflicting : rake watch -t*\\\\* Invoke watch (first_time)*\\\\* Execute watchStarting to watch source with Jekyll and Compass.rake aborted!undefined method  call\'/-1.9.2-p290/-0.9.2/:205:in  each\'/-1.9.2-p290/-0.9.2/:200:in  invoke_with_call_chain\'/:242:in  invoke_with_call_chain\'/-1.9.2-p290/-0.9.2/:144:in  invoke_task\'/-1.9.2-p290/-0.9.2/:90:in  each\'/-1.9.2-p290/-0.9.2/:90:in  standard_exception_handling\'/-1.9.2-p290/-0.9.2/:84:in  run\'/-1.9.2-p290/-0.9.2/:129:in  run\'/-1.9.2-p290/-0.9.2/:32/-1.9.2-p290/:19:in ""'",,,,,,,,,,,,,,,
octopress,129,closed,reopened,2011-09-02 06:57:27,98.8,0,2,1,,,,,,,,,,,,,,,,
octopress,129,closed,closed,2011-09-02 07:47:53,50.43,0,2,1,,,,,,,,,,,,,,,,
octopress,129,closed,2,2011-09-02 04:45:13,410.12,1,,,"b""b' You closed this issue. Did you figure out what was wrong or was that a mistake?'""",,,,,,,,,,,,,,,
octopress,129,closed,3,2011-09-02 04:45:13,492.25,,1,,"b""b' '""",,,,,,,,,,,,,,,
octopress,129,closed,-,-,-,1,3,1,,,,,,,,,,,,,,,,
octopress,164,closed,opened,2011-09-21 04:50:03,,,,,,,,,,,,,,,,,,,,
octopress,164,closed,title,2011-09-21 04:50:03,00:00,,1,,"b""b' Allow custom date formats'""",,,,,,,,,,,,,,,
octopress,164,closed,body,2011-09-21 04:50:03,00:00,,,1,"b""b' It seems the date formats for display are coded deep in the engine somewhere and not exposed through the templates or configuration files. It would be good to allow users to modify the date format.'""",,,,,,,,,,,,,,,
octopress,164,closed,1,2011-09-21 04:50:03,567.65,,1,,"b'b"" Date formats are exposed to the templates", use the Liquid\'s date filter," e.g. List of format descriptors: url ""'",,,,,,,,,,,,,
octopress,164,closed,closed,2011-10-17 14:17:42,567.65,0,2,1,,,,,,,,,,,,,,,,
octopress,164,closed,2,2011-09-21 04:50:03,984.2,,1,,"b""b' So is there a chance of getting date format added as a top-level preference? Otherwise"," where in the template files must this be modified?'""",,,,,,,,,,,,,,
