REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,401,closed,2,2010-10-29 22:02:28,409.8,,1,,"b""b' Done in beta branch'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,401,closed,closed,2013-01-04 07:29:14,480.0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,401,closed,-,-,-,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,524,closed,opened,2010-12-29 23:09:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,524,closed,title,2010-12-29 23:09:25,00:00,,1,,"b""b' Issue #263 User-page pagination links'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,524,closed,body,2010-12-29 23:09:25,00:00,,1,,"b'b"" This adds pagination links to the \'user\' view (#263).  This might not be the preferred way to go about it.  I see that the UserController does not use the \'dataset\' model [which I have not looked at in depth] and so I just added the page params directly to the view.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,524,closed,1,2010-12-29 23:09:25,1221.05,,,1,"b'b"" Thought I would send a ping on this req. from Dec. before it popped off my stack entirely.  I\'ve just rebased the branch with the current master and pushed it out again. The tests still pass.  It has always worked fine for me in my local build. I now can\'t remember what specifically I had in mind  but it\'s a small set of changes that is easy to look over.  If it\'s no longer the \'right\' model that\'s okay-just reject it.  I guess there\'s going to be an overhaul of the UI anyway.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,524,closed,2,2010-12-29 23:09:25,1419.32,,1,,"b'b"" It looks like this functionality is now pulled in (or added separately by someone else?I didn\'t check)"," so am closing this; will also delete the branch that it refers to.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,524,closed,closed,2011-03-19 19:09:47,1200.37,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,524,closed,3,2010-12-29 23:09:25,84.6,,1,,"b'b"" Postscript: Never mind re: the prev. comment... Actually", I think I\'m seeing this functionality because I also added it to the streaming branch (which I was running).  Duh.  I think I\'ll leave this req closed though," as it appeared dormant.  Let me know if you want me to resurrect it.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,524,closed,4,2010-12-29 23:09:25,191.33,1,,,"b'b"" I\'m sorry", AmyI meant to talk with you about this pull, and for some reason I wasn\'t getting comment notifications about it from GitHub.  Here\'s the long belated story: I didn\'t merge it b/c the original issue #263 was referring to older links on the dashboard views only, not the user controller. We do need them in the user controller as well, but that\'s another issue (#256), b/c it has to be redesigned into the current template," which Bill is working on now. So I kept this pull open to refer back to it once the redesign was ready. It\'s almost there; so I\'m going to reopen this pull to make sure I merge what you did into what he does. Apologies for not being more communicative about this sooner!""'",,,,,,,,,,,,,,,,,,,,,,,
ThinkUp,524,closed,reopened,2011-03-26 23:45:46,275.98,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
