REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,31,2012-06-05 20:21:16,506.02,,1,,"b""b' @bradwestfall You can either be patient or not. Those are actually the only two choices. :) Human nature is funny. It turns out that griping loudly over multiple channels (to which people have already responded to both) actually has the opposite effect you\\xe2\\x80\\x99re looking for here. But I won\\xe2\\x80\\x99t be a jackass in return. These icons are still in the 4.2.0 milestone. And be nice to @tagliala. He does an enormous amount of thankless work on this project. And much of his pain is people not being entirely polite.'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,32,2012-06-05 20:21:16,72.15,,,1,"b'b"" @davegandy I concur with you. Patience is something not many people have these days. People can\'t even wait for a few seconds for the page to load in the browser or even 30 seconds for food to be done in the microwave. Patience", indeed," is a virtue!  I appreciate all that you and @tagliala have been doing so far with this amazing ongoing project! ""'",,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,33,2012-06-05 20:21:16,477.52,,1,,"b'b"" @davegandy I think jackass is an interesting word choice to call someone who regularly promotes and evangelizes this product. I\'ve mentioned it on several channels because I think it\'s silly that such a widely used icon pack has no representation for a basic icon and yet has things like spoons and lemons. I wasn\'t trying to be rude to @tagliala but simply pointing out that I agree that making bizarre icons for myself would be a good idea. But the icon being requested here over and over isn\'t bizarre.  @respectyoda  You\'re absolutely right. Patience is something that not a lot of people have. But do you really think that I\'ve waited for 30 seconds", or are you just saying words to have them said? Truth be told," this conversation about this type of icon on FA has been going on for two years. I don\'t think that comparing two years to 30 seconds is a credible argument ""'",,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,34,2012-06-05 20:21:16,763.07,,,1,"b""b' @bradwestfall the problem is that you are forcing another person to do a job (for free). I experienced a similar issue on the (in)famous #991. You are plenty of options to include a color palette in font awesome"," without waiting for Dave to do the jobThis simple line of javascript will check all the icons from the fontawesome set @ '""",,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,35,2012-06-05 20:21:16,261.13,1,,,b'b\' @tagliala Thank you for the jQuery bit. I still wont be using Fontello anytime soon because it is still a pain even with this line. For my reasons and @claviska \\\'s reasons. Also, I don\\\'t see any way that this conversation could be construed as forcing. These are gethub _requests_ and that\\\'s all this has been a request. It\\\'s been a request on this page for over two years," and many other people have started duplicate threads not knowing that this page exists. I\\\'ve been using icon packs since there were icon packs and I can say two things for sure. 1. Font Awesome is a very very good icon pack. So thank you. 2. Almost every icon pack I\\\'ve ever seen that had more than 50 icons has had some representation for ""Art"" or ""Graphic Design"". That\\\'s why some people are becoming confused about why this _request_ has existed for so long with very little attention to it. Thank you for your time\''",,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,36,2012-06-05 20:21:16,105.25,,1,,"b""b' It exists still because I have not completed it. It\\xe2\\x80\\x99s that simple. No sinister plot to keep these icons from being created. Just other priorities. :)'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,37,2012-06-05 20:21:16,82.0,,1,,"b""b' I will leave the grassy knoll then :)'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,38,2012-06-05 20:21:16,275.53,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,39,2012-06-05 20:21:16,902.68,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,40,2012-06-05 20:21:16,214.03,,1,,"b""b' +1'""",,,,,,,,,,,,,,,,,,,,,,,
Font-Awesome,244,closed,41,2012-06-05 20:21:16,677.75,,1,,"b'b"" +1"," used \'fa-tint\' for color-pallete""'",,,,,,,,,,,,,,,,,,,,,,
