REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,108,open,body,2014-12-10 15:12:28,00:00,1,,,"b'b"" Basically I want to be able to select a context based on the IP the client connected to when it provided no SNI information. The setup is as follow:The server is configured with several loopbacks interface in several range.The network gear will route any packet  for those range to the main server IP.This basically allows the server to easily have 100\'s of IPs without having to configure a distinct interface for each. If the client sends SNI info", then of course we use that. Unfortunately, there is still quite a bit of clients that don\'t especially in enterprise environment or when using client libraries (like python only added SNI _very_ recently), so to still support those, we assign a distinct IP to each of our customer that has a custom domain and we use the target IP as a fallback. Unfortunately, in folly (and proxygen which is what I\'d like to use) all of this is kind of hidden away in the Acceptor SSLContextManager, it evens extract the domains name directly from the certs. The least intrusive way I can see to support this would be to add a mapping from IP -If I write such a thing," would it be admissible for merging or is this something you just don\'t want ?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,108,open,1,2014-12-10 15:12:28,198.32,,,1,"b'b"" Thank you for reporting this issue and appreciate your patience. We\'ve  notified the core team for an update on this issue. We\'re looking for a response within the next 30 days or the issue may be closed.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,108,open,2,2014-12-10 15:12:28,24.62,,,1,"b'b"" Thank you for your patience. We\'re going to close out this issue. If you\'re still experiencing the problem described"," please reopen the issue thanks!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,108,open,closed,2015-06-04 18:55:25,222.95,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,108,open,3,2014-12-10 15:12:28,7.97,,1,,"b'b"" I think this was closed in error.  An engineer has been assigned to implement this feature.  We\'ll update shortly.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,108,open,reopened,2015-06-04 19:03:22,7.95,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,108,open,4,2014-12-10 15:12:28,1389.15,1,,,"b""b' Hello!  This is a human.  My previous comment on this issue was a robot running amok.  I apologize that the issue was closed.  Thanks for your help with our folly project and for your understanding about rogue robots trying to take over the world.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,108,open,5,2014-12-10 15:12:28,353.82,,1,,"b""b' Hello non-bots @afrind and @chipturner. Did this ever happen?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,108,open,-,-,-,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,115,closed,opened,2015-01-11 15:47:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,115,closed,title,2015-01-11 15:47:13,00:00,,1,,"b""b' Debian build errors: PIC register clobbered'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,115,closed,body,2015-01-11 15:47:13,00:00,,1,,"b""b' When trying to build on Debian Jessie"," there is an assembly error in CpuId.h: Here is a blog post that discusses PIC register clobbering in more detail: url  '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,115,closed,1,2015-01-11 15:47:13,372.87,,1,,"b""b' Could you please put up a patch?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,115,closed,2,2015-01-11 15:47:13,326.1,,1,,"b'b"" I\'m not very familiar with assembly"," so I\'m not sure if I can patch it myself. I\'ll give it a go however.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,115,closed,3,2015-01-11 15:47:13,21.23,,1,,"b'b\' received the same error while trying to build proxygen which has folly dependency. Building from this repo directly produced the same error. In file included from :19:0:./../: In function \\\'int (\\\\* {anonymous}::folly_popcount_ifunc())(unsigned int)\\\':./../:49:62: error: PIC register clobbered by \\\'ebx\\\' in \\\'asm\\\'asm(""cpuid"" : ""=a""(n) : ""a""(0) : ""ebx""",edx,"ecx"");^./../:51:65: error: PIC register clobbered by \\\'ebx\\\' in \\\'asm\\\'asm(""cpuid"" : ""=c""(f1c_), ""=d""(f1d_) : ""a""(1) : ""ebx""); DISTRIB_ID=LinuxMintDISTRIB_RELEASE=17DISTRIB_CODENAME=qianaDISTRIB_DESCRIPTION=""Linux Mint 17 Qiana""NAME=""Ubuntu""VERSION=""14.04, Trusty Tahr""ID=ubuntuID_LIKE=debianPRETTY_NAME=""Ubuntu 14.04 LTS""VERSION_ID=""14.04"" gcc (Ubuntu 4.8.2-19ubuntu1) 4.8.2\\\\\''
folly	115	closed	4	ghost	2015-01-11 15:47:13	883.38			+1	b'b"" Thank you for reporting this issue and appreciate your patience. We\'ve  notified the core team for an update on this issue. We\'re looking for a response within the next 30 days or the issue may be closed.""'
folly	115	closed	5	sindhya	2015-01-11 15:47:13	680.67			+1	b'b"" Same error on 32-bit Ubuntu 14.04 LTS.Doesn\'t occur on 64-bit version.!""'
folly	115	closed	6	chipturner	2015-01-11 15:47:13	783.97			+1	b'b"" Thank you for your patience. We\'re going to close out this issue. If you\'re still experiencing the problem described, please reopen the issue thanks!""'
folly	115	closed	closed	 - 	2015-06-04 18:55:27	188.23	0	5	3
folly	115	closed	7	chipturner	2015-01-11 15:47:13	1395.93	+1			b""b' Hello!  This is a human.  My previous comment on this issue was a robot running amok.  I apologize that the issue was closed, and am re-opening it.  Thanks for your help with our folly project and for your understanding about rogue robots trying to take over the world.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,115,closed,reopened,2015-06-05 18:11:22,1395.92,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folly,115,closed,8,2015-01-11 15:47:13,1234.93,,,1,"b'b"" Any luck on this issue? I\'m having the same problem.(Debian Jessie 32-bit)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
