REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,663,closed,9,2011-06-27 17:37:02,2.08,1,,,"b'b\' Ok well... then i think we should leave it like that. Normal users usually give a fuck about formatting and also about ""links looking pretty"" (i mean", does Facebook have such options?), but if they want to use those options, they just can.\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,663,closed,10,2011-06-27 17:37:02,5.43,,1,,"b'b"" Facebook doesn\'t post links like above though", they abstract them out into a pretty interface... (They also void the privacy wall when posting to twitter by linking back to the original post, comments," etc if it is too long)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,663,closed,11,2011-06-27 17:37:02,20.2,,1,,"b""b' Well"," maybe we should too?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,663,closed,12,2011-06-27 17:37:02,39.07,,1,,"b""b' OK? But this is about today"," and about url shortening in a way that makes sense to users..'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,663,closed,13,2011-06-27 17:37:02,1190.98,,1,,"b""b' Rebased the pull req so it should apply cleanly'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,663,closed,closed,2011-07-08 00:32:59,415.95,4,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,663,closed,reopened,2011-07-08 17:45:53,1032.9,4,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,663,closed,14,2011-06-27 17:37:02,231.75,,1,,"b'b"" I think there\'s no reason to short urls. We have no character limits and the full url dont hide information about where you will be send...""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,663,closed,15,2011-06-27 17:37:02,165.92,1,,,"b""b' So should we drop  support? And not to point out the obvious"," but url  looks bad no matter what service you are using..'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,663,closed,16,2011-06-27 17:37:02,80.7,,1,,"b""b' maybe can use just the homepage dir. I.e: from _url  to _go to url '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,663,closed,17,2011-06-27 17:37:02,479.55,,1,,"b""b' i think a long ling should be shortened like that:long link: url  like it will look on diaspora: url  (...)'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,663,closed,18,2011-06-27 17:37:02,552.45,,1,,"b""b' +1 for @kas70", that was my initial idea too. We still could do some Javascript magic if posting to services is enabled and automatically shorten them at the time of writing. Also I would like to use an open source shortner for that and make the actually used instance configurable," so pod maintainers could set up their own service.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,663,closed,19,2011-06-27 17:37:02,79.1,,1,,"b'b"" agree with @wcs"," i think it\'s too obscure for an open service like diaspora\\\\* :)Yo don\'t know where you\'re refering and you depend on a third party service that make the redirect to begin.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,663,closed,20,2011-06-27 17:37:02,552.07,,,1,"b""b' @kas70 idea is very good too. I gues must be something like that...'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,663,closed,21,2011-06-27 17:37:02,950.42,,1,,"b'b"" I\'d kinda like to provide automagic shortening"," if the user wants it somehow.  adding a \'/\' seems a little bit hidden to me.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,663,closed,22,2011-06-27 17:37:02,614.17,,,1,"b'b"" If its cool with you"," I\'d kinda like to close this  for the pull request though!""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,663,closed,closed,2011-08-31 05:26:28,700.58,5,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,663,closed,-,-,-,5,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspora,779,closed,opened,2011-07-08 00:48:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
