REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,26,closed,closed,2011-03-19 18:25:37,375.73,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,26,closed,-,-,-,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,64,closed,opened,2011-03-09 13:47:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,64,closed,title,2011-03-09 13:47:42,00:00,,1,,"b""b' Need some documentation for irc notifications in the wiki'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,64,closed,body,2011-03-09 13:47:42,00:00,1,,,"b'b"" i get some entries like these in my log: 09.03.11 14:44:59 [0x0-0xe00e0][8905] Could not connect: Could not connect to: :6667 Connection refused it seems that sparkleshare want to create a connection to an irc-server on my server with port 6667. But i can\'t find any informations that i have to install something like this. I had only installed a git-repo on my server and added sparkleshare keys to my authorized_keys for this user. where can i find informations about these irc-service?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,64,closed,1,2011-03-09 13:47:42,12.92,,1,,"b""b' Sparkleshare will use your IRC service to be notified about changes quickly if you have one installed. If not it will just poll every minute or so.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,64,closed,2,2011-03-09 13:47:42,1124.7,,1,,"b'b"" Does the IRC functionality still exist in the latest version?  I have installed an IRC server listening on port 6667"," but SparkleShare doesn\'t seem to be using it.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,64,closed,reopened,2011-04-15 11:12:37,1284.92,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,64,closed,3,2011-03-09 13:47:42,654.2,,1,,"b""b' do IRC implementations notify of changes or is this something that will come with sparkleshare server?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,64,closed,4,2011-03-09 13:47:42,1204.1,,1,,"b""b' @qirtaiba", looking at the source it does, see []url  if I am right," it will use your own server if the file []url  exists. Otherwise it will use a central IRC server.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,64,closed,5,2011-03-09 13:47:42,129.8,,1,,"b""b' Would it be beneficial if one had their own notification server running along side the git repository?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,64,closed,6,2011-03-09 13:47:42,168.98,,,1,"b'b"" @lgordon not really. I\'ve added the feature in so for  that are concerned about privacy. Which is a valid reason. Also"," if you run your own notification server you are less dependant on others. Which is always good.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,64,closed,7,2011-03-09 13:47:42,1408.28,1,,,"b'b"" I\'m just trying to understand the notification server and in the wiki it says that clients could be receive only", but this is not the case now," correct? The clients send messages to the IRC channel?""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,64,closed,8,2011-03-09 13:47:42,29.35,,1,,"b""b' Yes", but the wiki describes a future notification server which will be used instead of IRC. When there is a central git repository, it will be enough if a daemon on that server monitors changes," and broadcasts it to all client. That way clients do not need to send. '""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,64,closed,9,2011-03-09 13:47:42,124.78,,1,,"b""b' Correct.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,64,closed,closed,2011-04-21 15:40:41,268.07,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,64,closed,10,2011-03-09 13:47:42,284.4,,1,,"b""b' wimh: Following your advice I have  on the client", and ircds running on the servers," yet SparkleShare is still using its own public IRC server.  Did I do something wrong?'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparkleShare,64,closed,11,2011-03-09 13:47:42,1404.7,,1,,"b""b' @qirtaiba", I am looking," but I accidentally deleted my test vmware. On my other server irc does not seem to work at all. So I need to fix that first.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
