REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,766,closed,closed,2011-04-23 14:42:44,3.02,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,766,closed,-,-,-,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,790,closed,opened,2011-05-13 05:38:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,790,closed,title,2011-05-13 05:38:28,00:00,,1,,"b'b"" App hook subpages don\'t work with Oracle""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,790,closed,body,2011-05-13 05:38:28,00:00,,,1,"b'b\' This query never returns anything on oracle: title_(application_urls__gt="""").select_related() This is found in . Changing the filter to works. Unfortunately", Oracle doesn\\\'t allow blank varchars, but converts them to NULL. It\\\'s best to not depend on blank Char values for cross-database compatibility. Thanks!Mike Johnson\'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,790,closed,1,2011-05-13 05:38:28,926.33,,1,,"b'b"" The problem with Oracle is", I cannot test it. Therefore really supporting it is impossible for me. The other issue is that your commits you\'ve done are mixed with other fixes," so I cannot pull them. Please at least provide a  I can pull if you want this fixed.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,790,closed,closed,2011-05-20 21:04:48,926.33,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,790,closed,2,2011-05-13 05:38:28,44.88,1,,,"b'b"" Sorry", that was just a branch I was keeping my changes in. I didn\'t know github was going to display them on the issue. The issue is that the sql expression doesn\'t work on Oracle. It never returns anything. In other databases, this is an easy way to exclude both blank and null values. I\'m still learning the code base so I don\'t know what the best fix would be. Typically there\'d be some validation to disallow empty strings column and then IS NOT NULL (or  ) works for all databases. The other benefit is that IS NOT  NULL queries can use the index. Here is a quick test I did on Postgres to show the index is not used for  : And on Oracle: It doesn\'t appear that blank values are valid data for the application_urls column. Hopefully this query change would not be a big deal. Otherwise it could be a big headache for me since Oracle will silently convert blank VARCHAR fields to NULL. (Yes, I know. Freaking Oracle. But I have to use it," sadly.)""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,790,closed,reopened,2011-05-27 18:29:48,1285.0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,790,closed,3,2011-05-13 05:38:28,1240.65,,1,,"b""b' the fix proposed here and merged in e6ebae6 actually breaks apphook support on sqlite"," since __isnull actually checks for NULL and empty strings are not considered NULL.'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,790,closed,4,2011-05-13 05:38:28,26.58,,1,,"b'b"" It\'ll still work on Oracle if you add a and the optimizer should take care of the rest.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,790,closed,closed,2011-05-27 19:45:27,75.65,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,790,closed,5,2011-05-13 05:38:28,1291.0,1,,,"b""b' This is a WONTFIX"," sorry'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,790,closed,6,2011-05-13 05:38:28,1309.32,,1,,"b'b"" I will submit a pull request when I have a moment that\'ll work for all.""'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,790,closed,-,-,-,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
django-cms,802,closed,opened,2011-05-21 10:39:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
