REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,
Sick-Beard,517,closed,9,2012-10-28 20:49:45,2.6,,1,,"b'b"" @thezoggy: Oh jeez"," I don\'t know how I missed that. Sorry. And thanks for all your work on SickBeard!""'",,,,,,,,,,,
Sick-Beard,517,closed,10,2012-10-28 20:49:45,120.68,,1,,"b'b"" np"," the frodo related work is in development branch and should be pushed out to the master branch when we are ready to make a new build. frodo is still a few weeks from being released and they are still making changes (so hopefully none of the code changes i\'ve made will break before they release it)""'",,,,,,,,,,,
Sick-Beard,517,closed,closed,2012-12-08 22:46:07,112.53,2,7,3,,,,,,,,,,,,,
Sick-Beard,517,closed,-,-,-,2,7,3,,,,,,,,,,,,,
Sick-Beard,531,closed,opened,2012-11-18 04:03:37,,,,,,,,,,,,,,,,,
Sick-Beard,531,closed,title,2012-11-18 04:03:37,00:00,,1,,"b""b' Add update once option to xbmc notifier'""",,,,,,,,,,,,
Sick-Beard,531,closed,body,2012-11-18 04:03:37,00:00,,1,,"b""b' same as pull #492 but updated to work with the recent updates the notifierAdds option to stop sending update commands to xbmc hosts once it has successfully updated once. If using a mysql database that has several clients"," this is really useful as it stops duplicates.'""",,,,,,,,,,,
Sick-Beard,531,closed,1,2012-11-18 04:03:37,169.98,,1,,"b""b' you would also need to modify code to make this work with testXBMC or updateXBMC functions ().. and how you report back the results'""",,,,,,,,,,,,
Sick-Beard,531,closed,closed,2013-03-04 09:43:22,339.75,0,3,0,,,,,,,,,,,,,
Sick-Beard,531,closed,reopened,2013-03-04 09:50:47,7.42,0,3,0,,,,,,,,,,,,,
Sick-Beard,531,closed,2,2012-11-18 04:03:37,1123.68,,1,,"b""b' this can be closed"," it was basically pulled just implemented differently. '""",,,,,,,,,,,
Sick-Beard,531,closed,closed,2013-07-09 05:16:02,1165.25,0,4,0,,,,,,,,,,,,,
Sick-Beard,531,closed,-,-,-,0,4,0,,,,,,,,,,,,,
Sick-Beard,543,closed,opened,2012-12-02 11:32:24,,,,,,,,,,,,,,,,,
Sick-Beard,543,closed,title,2012-12-02 11:32:24,00:00,,1,,"b'b"" AddNewShow tvdb_api languages select fixed (would only contain the fallback \'en\')""'",,,,,,,,,,,,
Sick-Beard,543,closed,body,2012-12-02 11:32:24,00:00,,1,,"b""b' A previous change caused the tvdb languages select to not be populatedanymore. This happens when adding a new show from scratch. Revertingback the culprit line.'""",,,,,,,,,,,,
Sick-Beard,543,closed,1,2012-12-02 11:32:24,66.08,,,1,"b""b' Thanks for catching this"," working on too many branches :('""",,,,,,,,,,,
Sick-Beard,543,closed,2,2012-12-02 11:32:24,8.67,,,1,"b""b' No problem. Glad I could contribute one way or another.'""",,,,,,,,,,,,
Sick-Beard,543,closed,closed,2012-12-02 12:47:12,74.8,0,2,2,,,,,,,,,,,,,
Sick-Beard,543,closed,reopened,2012-12-02 12:47:14,0.03,0,2,2,,,,,,,,,,,,,
Sick-Beard,543,closed,closed,2012-12-02 15:30:24,163.17,0,2,2,,,,,,,,,,,,,
Sick-Beard,543,closed,-,-,-,0,2,2,,,,,,,,,,,,,
Sick-Beard,742,closed,opened,2013-09-27 18:59:37,,,,,,,,,,,,,,,,,
Sick-Beard,742,closed,title,2013-09-27 18:59:37,00:00,,1,,"b""b' Adding option to order by DVD ordering'""",,,,,,,,,,,,
Sick-Beard,742,closed,body,2013-09-27 18:59:37,00:00,1,,,"b'b\' This is an important option for TV Shows to allow for returning the results in DVD order instead of Airdate Order. Why is this important? Because many people are ripping their TV shows and using SickBeard to manage them and automatically name and process them. The change here allows you to add shows like ""Batman: The Animated Series"" and ""Firefly"" where the network screwed up the air ordering but fixed it in a subsequent DVD release. This PR requires a library update: url \''",,,,,,,,,,,,
Sick-Beard,742,closed,closed,2013-09-27 19:01:22,1.75,1,1,0,,,,,,,,,,,,,
Sick-Beard,742,closed,reopened,2013-09-27 19:05:24,4.03,1,1,0,,,,,,,,,,,,,
Sick-Beard,742,closed,1,2013-09-27 18:59:37,664.47,,1,,"b""b' i do believe you could just do instead of '""",,,,,,,,,,,,
Sick-Beard,742,closed,2,2013-09-27 18:59:37,1.28,,1,,"b""b' you should submit the dvd order support to the tvdb_api rather than we fork their code. url '""",,,,,,,,,,,,
Sick-Beard,742,closed,3,2013-09-27 18:59:37,599.18,,1,,"b'b"" @thezoggy I will change it to I didn\'t realize that  was a separate project. I will submit a PR to them. Is there a reason that library isn\'t just a pip requirement? ""'",,,,,,,,,,,,
Sick-Beard,742,closed,4,2013-09-27 18:59:37,39.35,,,1,"b'b"" @thezoggy Thank you for the comments. I\'ve sent a PR to tvdb_api and I will remove and rebase my changes to tvdb_ inside of this PR as soon as they accept it. I am leaving them in for now in case people want to test my changes easily.""'",,,,,,,,,,,,
