REPOSITORY,ISSUE_ID,STATUS,EVENT,CREATED_AT,TIME DURATION,NEGATIVE,NEUTRAL,POSITIVE,MSG,,,,,,,,,,,,,,,,,,,,,
httpie,108,closed,closed,2016-02-28 13:09:41,1373.35,0,3,4,,,,,,,,,,,,,,,,,,,,,,
httpie,108,closed,-,-,-,0,3,4,,,,,,,,,,,,,,,,,,,,,,
httpie,128,open,opened,2013-02-10 21:56:58,,,,,,,,,,,,,,,,,,,,,,,,,,
httpie,128,open,title,2013-02-10 21:56:58,00:00,,1,,"b""b' Option to allow pretty print without alpha sorting'""",,,,,,,,,,,,,,,,,,,,,
httpie,128,open,body,2013-02-10 21:56:58,00:00,,,1,"b'b"" Right now", the options are  ,  , and  , but often the order of the json returned is intentional and for clarify. It would be nice to be able to pretty print the json without having it\'s keys sorted :) Awesome tool," and thanks very much for everything!""'",,,,,,,,,,,,,,,,
httpie,128,open,1,2013-02-10 21:56:58,589.85,,,1,"b'b"" Results from my introspection. Since uses guessing is responsible for this", trying  . Same result. Now looking into  code. Look into requests code is imported from  ," the exact code is  Trying other library like provides same result Since the the returned object is dictionary it isn\'t possible to maintain the order due to hashing. If it is possible to maintain the order it would be great. ""'",,,,,,,,,,,,,,,,,,,
httpie,128,open,2,2013-02-10 21:56:58,27.2,1,,,"b""b' Seems like I made a mistake. There is a [JSONProcessor]url  but still it might not solve the problem. Trying with  '""",,,,,,,,,,,,,,,,,,,,,
httpie,128,open,3,2013-02-10 21:56:58,5.0,,1,,"b""b' One way to get around the problem is use  .  '""",,,,,,,,,,,,,,,,,,,,,
httpie,128,open,4,2013-02-10 21:56:58,413.67,,,1,"b""b' Nice. I recently used something called an OrderedHash is ruby that solved a similar problem. Thinking that OrderedDict might be the solution in python...url '""",,,,,,,,,,,,,,,,,,,,,
httpie,128,open,5,2013-02-10 21:56:58,1100.2,,1,,"b""b' @patcon That was easier solution than mine. I will modify the code accordingly and update the pull request. '""",,,,,,,,,,,,,,,,,,,,,
httpie,128,open,6,2013-02-10 21:56:58,298.45,,1,,"b""b' :+1: Closing this one :)'""",,,,,,,,,,,,,,,,,,,,,
httpie,128,open,closed,2013-07-29 14:31:20,994.37,1,4,3,,,,,,,,,,,,,,,,,,,,,,
